0,Acadia
1,"American Samoa"
2,Arches
3,Badlands
4,"Big Bend"
5,Biscayne
6,"Black Canyon of the Gunnison"
7,"Bryce Canyon"
8,Cabrillo
9,Canyonlands
10,"Capitol Reef"
11,"Carlsbad Caverns"
12,"Channel Islands"
13,Congaree
14,"Crater Lake"
15,"Cuyahoga Valley"
16,"Death Valley"
17,Denali
18,"Dry Tortugas"
19,Everglades
20,"Gates of the Arctic"
21,"Gettysburg National Military Park"
22,Glacier
23,"Glacier Bay"
24,"Grand Canyon"
25,"Grand Teton"
26,"Great Basin"
27,"Great Sand Dunes"
28,"Great Smoky Mountains"
29,"Guadalupe Mountains"
30,Haleakala
31,"Harpers Ferry"
32,"Hawai’i Volcanoes"
33,"Hot Springs"
34,"Isle Royale"
35,"Joshua Tree"
36,Katmai
37,"Kenai Fjords"
38,"Kings Canyon"
39,"Kobuk Valley"
40,"Lake Clark"
41,"Lassen Volcanic"
42,"Mammoth Cave"
43,"Mesa Verde"
44,"Mount Rainier"
45,"North Cascades"
46,Olympic
47,"Organ Pipe Cactus"
48,"Petrified Forest"
49,Pinnacles
50,Redwood
51,"Rocky Mountain"
52,Saguaro
53,Sequoia
54,Shenandoah
55,"Theodore Roosevelt"
56,"Valley Forge"
57,"Virgin Islands"
58,Voyageurs
59,"Wind Cave"
60,"Wrangell–St. Elias"
61,Yellowstone
62,Yosemite
63,Zion
